Status,Device ID,Location,Machine,Product,Category,Transaction,TransDate,Type,RCoil,RPrice,RQty,MCoil,MPrice,MQty,LineTotal,TransTotal,Prcd Date
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Miss Vickie's Potato Chip - Jalapeno,Food,15499413939,8/9/2022,Cash,113,1.5,1,113,1.5,1,1.5,1.5,8/9/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,15936099640,11/7/2022,Cash,148,3.5,1,148,3.5,1,3.5,3.5,11/17/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Pop Corners - White Cheddar,Food,15418159413,7/21/2022,Cash,113,1.5,1,113,1.5,1,1.5,1.5,7/23/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Snapple Diet Tea - Raspberry,Non Carbonated,15052829254,5/2/2022,Cash,143,2.5,1,143,2.5,1,2.5,2.5,5/2/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Cheetos Flaming Hot Limon Crunchy,Food,15712641611,9/22/2022,Cash,113,1.5,1,113,1.5,1,1.5,1.5,9/22/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Nutri Grain Apple Cinnamon,Food,15065386596,5/4/2022,Cash,135,1.5,1,135,1.5,1,1.5,1.5,5/4/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Miss Vickie's Potato Chip - Sea Salt Original,Food,14862860337,3/22/2022,Cash,113,1.5,1,113,1.5,1,1.5,1.5,3/30/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Good Health Veggie Stix - Zesty Ranch,Food,14884903460,3/27/2022,Cash,125,1.5,1,125,1.5,1,1.5,1.5,3/31/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,14763323761,3/1/2022,Credit,148,3.0,1,148,3.0,1,3.0,6.0,3/1/2022
Processed,VJ300205292,Brunswick Sq Mall,BSQ Mall x1364 - Zales,Goldfish Baked - Cheddar,Food,15379118804,7/13/2022,Cash,120,1.5,1,120,1.5,1,1.5,1.5,7/13/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,14576136011,1/17/2022,Cash,133,2.0,1,133,2.0,1,2.0,2.0,1/17/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,KitKat - Crisp Wafers,Food,15063714680,5/4/2022,Cash,134,2.0,1,134,2.0,1,2.0,2.0,5/4/2022
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Wonderful Pistachios - Variety,Food,15650730290,9/10/2022,Cash,133,2.0,1,133,2.0,1,2.0,2.0,9/10/2022
Processed,VJ300205292,Brunswick Sq Mall,BSQ Mall x1364 - Zales,Snapple Tea - Lemon,Non Carbonated,15419164615,7/22/2022,Credit,147,2.5,1,147,2.5,1,2.5,2.5,7/23/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Snapple Diet Tea - Lemon,Non Carbonated,15210679209,6/6/2022,Credit,143,2.5,1,143,2.5,1,2.5,2.5,6/6/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Snapple Diet Tea - Lemon,Non Carbonated,15154672958,5/24/2022,Credit,143,2.5,1,143,2.5,1,2.5,2.5,5/24/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Starbucks Doubleshot Energy - Mocha,Non Carbonated,15891262890,10/28/2022,Credit,146,3.5,1,146,3.5,1,3.5,5.0,10/28/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Lenny & Larrys - Chocolate Chip,Food,15202084395,6/3/2022,Cash,158,2.0,1,158,2.0,1,2.0,2.0,6/3/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,15278379110,6/20/2022,Cash,140,1.5,1,140,1.5,1,1.5,1.5,6/20/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,SunChips Multigrain - Harvest Cheddar,Food,15645185496,9/9/2022,Cash,112,1.5,1,112,1.5,1,1.5,1.5,9/19/2022
Processed,VJ300205292,Brunswick Sq Mall,BSQ Mall x1364 - Zales,Goldfish Baked - Cheddar,Food,15240725973,6/12/2022,Credit,120,1.5,1,120,1.5,1,1.5,1.5,6/12/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,SunChips Multigrain - Harvest Cheddar,Food,16173052787,12/30/2022,Cash,114,1.5,1,114,1.5,1,1.5,1.5,12/30/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Doritos Cool Ranch,Food,15037234496,4/28/2022,Cash,114,1.5,1,114,1.5,1,1.5,1.5,4/28/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,15512621808,8/11/2022,Cash,114,2.0,1,114,2.0,1,2.0,2.0,8/11/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Lenny & Larrys - SnickerDoodle,Food,15922895331,11/4/2022,Cash,157,3.0,1,157,3.0,1,3.0,3.0,11/4/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Oreo Mini,Food,15502791515,8/10/2022,Credit,121,1.5,2,121,1.5,2,3.0,3.0,8/10/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Snapple Diet Tea - Lemon,Non Carbonated,15044552420,4/30/2022,Credit,143,2.5,1,143,2.5,1,2.5,2.5,4/30/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Oreo Mini - Go Paks,,16048737980,12/1/2022,Credit,150,4.0,1,150,4.0,1,4.0,4.0,12/1/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,15542892171,8/18/2022,Cash,138,2.0,1,138,2.0,1,2.0,2.0,8/18/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,S. Pellegrino Essenza Mineral Water - Blood O,Carbonated,15982356028,11/16/2022,Cash,144,2.5,1,144,2.5,1,2.5,2.5,11/17/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Nature's Bakery Fig Bar - Raspberry,Food,15367158889,7/11/2022,Cash,130,1.5,1,130,1.5,1,1.5,1.5,7/11/2022
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Cheetos Baked - Flaming Hot,Food,14970839415,4/14/2022,Cash,124,1.5,1,124,1.5,1,1.5,1.5,4/22/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,15222069023,6/8/2022,Credit,110,1.5,1,110,1.5,1,1.5,3.0,6/8/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Snyder's of Hanover Pretzel Pieces - Honey Mu,Food,15244420965,6/13/2022,Cash,120,2.0,1,120,2.0,1,2.0,2.0,6/13/2022
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Nature's Garden Trail Mix - Cranberry Healthy,Food,15269258101,6/18/2022,Cash,139,1.5,1,139,1.5,1,1.5,1.5,6/18/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,CheezIt - Original,Food,15543227006,8/18/2022,Cash,122,1.5,1,122,1.5,1,1.5,1.5,8/18/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,15936698880,11/7/2022,Cash,141,1.5,1,141,1.5,1,1.5,1.5,11/17/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,16115629609,12/15/2022,Cash,146,3.0,1,146,3.0,1,3.0,3.0,12/15/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,CheezIt - White Cheddar,Food,15702953901,9/21/2022,Cash,123,1.5,1,123,1.5,1,1.5,1.5,9/21/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,14990633490,4/19/2022,Cash,142,1.5,1,142,1.5,1,1.5,1.5,4/19/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,15900298736,10/31/2022,Cash,142,1.5,1,142,1.5,1,1.5,1.5,10/31/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Bai Antioxidant - Tanzania Lemon Super Tea,Non Carbonated,15661911316,9/12/2022,Credit,145,2.75,1,145,2.75,1,2.75,2.75,9/13/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Snapple Diet Tea - Lemon,Non Carbonated,14747023022,2/25/2022,Cash,145,2.5,1,145,2.5,1,2.5,2.5,2/25/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,SunChips Multigrain - Original,Food,15705675672,9/21/2022,Cash,120,1.5,1,120,1.5,1,1.5,1.5,9/21/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,15935540998,11/7/2022,Cash,110,1.5,1,110,1.5,1,1.5,1.5,11/17/2022
Processed,VJ300205292,Brunswick Sq Mall,BSQ Mall x1364 - Zales,Snapple Diet Tea - Peach Tea,Non Carbonated,15107995707,5/13/2022,Cash,143,2.5,1,143,2.5,1,2.5,2.5,5/13/2022
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,SunChips Multigrain - Salsa,Food,14774691425,3/3/2022,Cash,110,1.5,1,110,1.5,1,1.5,1.5,3/3/2022
Processed,VJ300320692,EB Public Library,EB Public Library x1380,Oreo Mini - Go Paks,,15300344365,6/25/2022,Cash,150,3.0,1,150,3.0,1,3.0,3.0,6/26/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,15850701011,10/20/2022,Cash,146,3.0,1,146,3.0,1,3.0,3.0,10/20/2022
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Doritos Dinamita Chile Lemon,,14879782611,3/25/2022,Cash,125,1.0,1,125,1.0,1,1.0,1.0,3/25/2022
