"","metric","base-llm_GPT-4"
"1","ANOnto","0.0"
"2","AROnto","1.0909090909090908"
"3","CBOOnto","1.1363636363636365"
"4","CBOnto2","1.1363636363636365"
"5","CROnto","0.0"
"6","DITOnto","4.0"
"7","INROnto","1.1363636363636365"
"8","LCOMOnto","3.0"
"9","NACOnto","1.25"
"10","NOCOnto","2.5"
"11","NOMOnto","1.6363636363636365"
"12","POnto","0.5"
"13","PROnto","0.5901639344262295"
"14","RFCOnto","2.772727272727273"
"15","RROnto","0.4098360655737705"
"16","TMOnto","0.047619047619047616"
"17","TMOnto2","2.0"
"18","WMCOnto","4.5"
"19","WMCOnto2","1.5"
