"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.9655172413793104","0.875","0.673469387755102","0.9166666666666666","0.8333333333333334","0.8"
"AROnto","0.0","0.5","0.04081632653061224","3.25","1.1666666666666667","1.6"
"CBOOnto","0.9655172413793104","0.875","0.9795918367346939","0.9166666666666666","0.9166666666666666","0.8"
"CBOnto2","0.9655172413793104","0.875","0.9795918367346939","0.9166666666666666","0.9166666666666666","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","3.0","2.0","2.0"
"INROnto","0.9655172413793104","0.875","0.9795918367346939","0.9166666666666666","0.9166666666666666","0.8"
"LCOMOnto","1.0","1.0","1.0","1.4","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","28.0","7.0","48.0","5.5","11.0","4.0"
"NOMOnto","0.0","1.5","0.12244897959183673","5.75","3.5","4.8"
"POnto","0.0","0.0","0.0","0.3333333333333333","0.0","0.0"
"PROnto","0.0","0.631578947368421","0.1111111111111111","0.8625","0.7924528301886793","0.8571428571428571"
"RFCOnto","0.9655172413793104","2.375","1.1020408163265305","6.666666666666667","4.416666666666667","5.6"
"RROnto","1.0","0.3684210526315789","0.8888888888888888","0.1375","0.20754716981132076","0.14285714285714285"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.4","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
